name,year,type,Longitude,Latitude,Google Maps Plus Code,description,Community Organization Partner,Artists Involved,website/community org,website artist(s),where to find,
Fraxinus Raptor,,,-87.8169206,41.9980508,,,,Tracy Ostmann Haschke,,,"Olympia Park, just W of path on E side of tennis court",
Lemon Tree,,,-87.6318246,41.9139049,,,,Irene Hoppenberg ,,,Lincoln Park- 1616-1636 N. Stockton Dr.,
Lead With the Heart,,,-87.6474,41.9735384,,,,Kara James,,,"Lincoln Park - North on Simonds Drive, south of Foster Beach",
Transformation,,,-87.5863134,41.787895,,,,Gary Keenan,,,Jackson Park - NE of the intersection at East 59th Street and S. Stony Island Boulevard,
Para Z,,,-87.6355015,41.9202605,,,,Peter Krsko,,,Lincoln Park (West side of Lincoln Park Zoo)<br>2100 block of N. Stockton Drive,
Ol' Blue (Heron),,,-87.5934738,41.7984796,,,,Jim Long ,,,Nichols Park,
Howling Wolf,,,-87.5935435,41.7986436,,,,Jim Long ,,,Nichols Park,
La Gioconda,,,-87.7683365,41.8763649,,,,Anthony Heinz May ,,,"Columbus Park, on lagoon",
Checkmate,,,-87.6376927,41.9391904,,,,Margot McMahon ,,,Lincoln Park:  Lake Shore Drive and Belmont ,
Flock,,,-87.7654785,41.8754048,,,,Margot McMahon ,,,Columbus Park at Central and Jackson near playground,
The Sound of Light on Ash,,,-87.6070634,41.7861157,,,,Connie Noyes,,,"Washington Park, near corner of E 60th and Cottage Grove",
Slingshot #1,,,-87.7971946,41.9201723,,,,Elain O'Sullivan ,,,Rutherford Sayre Park,
De-constructed Monument and Log Bench,,,-87.5302702,41.7180225,,,,Christine Perri ,,,Calumet Park fieldhouse,
The Second Skin,,,-87.7171602,41.84992,,,,Susanne Ruoff,,,Shedd Park fieldhouse,
Watching Tree,,,-87.7296774,41.750029,,,,Paul Russell ,,,Pottawattomie Park,
The Dance of the Nereids,,,-87.6381981,41.9312348,,,,Jonathan Schork ,,,Lincoln Park - North of Peggy Notebaert Nature Center on N. Cannon Dr,
Thalidomide #12,,,-87.5919656,41.7867988,,,,Jonathan Schork ,,,"Midway Plaisance - South of University of Chicago, west of Jackson Park",
Eternal Connections,,,-87.6161921,41.6917178,,,,Phillip Shore ,,,Palmer Park,
Aspire,,,-87.6464474,41.8414639,,,,J. Taylor Wallace ,,,McGuane Park,
